a_fortiori_Adv False 	a fortiori 	if you are wrong then, a fortiori, so am I 	if you are wrong then, [MASK], so am I
abnegation_1_N False 	abnegation 	abnegation of the holy trinity 	[MASK] of the holy trinity
abnormal_1_A False 	abnormal 	abnormal powers of concentration 	powers [MASK] of concentration
abnormal_1_A False 	abnormal 	abnormal amounts of rain 	amounts [MASK] of rain
abnormal_1_A False 	abnormal 	abnormal circumstances 	circumstances [MASK]
abnormal_1_A False 	abnormal 	an abnormal interest in food 	an interest in food [MASK]
abnormal_2_A False 	abnormal 	they were heartbroken when they learned their child was abnormal 	they were heartbroken when they learned their child was [MASK]
abnormal_2_A False 	abnormal 	an abnormal personality 	a personality [MASK]
abnormal_3_A False 	abnormal 	abnormal profits 	profits [MASK]
abnormal_3_A False 	abnormal 	abnormal ambition 	ambition [MASK]
aboard_2_Adv False 	aboard 	? 	?
aboard_3_Prep False 	aboard 	anchored close aboard another ship 	anchored close another ship [MASK]
aboard_4_Adv False 	aboard 	Bill has been aboard for three years now 	Bill has been [MASK] for three years now
abolish_V2 False 	abolish 	? 	?
abolition_N False 	abolition 	the abolition of capital punishment 	the [MASK] of capital punishment
abominable_1_A False 	abominable 	abominable treatment of prisoners 	treatment [MASK] of prisoners
abominable_2_A False 	abominable 	abominable workmanship 	workmanship [MASK]
abomination_3_N False 	abomination 	his treatment of the children is an abomination 	his treatment of the children is a [MASK]
aboral_A False 	aboral 	the aboral surface of a starfish 	the surface [MASK] of a starfish
aboriginal_1_A False 	aboriginal 	the aboriginal people of Australia 	the people [MASK] of Australia
aboriginal_2_A False 	aboriginal 	aboriginal forests 	forests [MASK]
scrap_2_V2 False 	scrap 	the Canadian government scrapped plans to tax the grants to Aborigine students 	the Canadian government [MASK] plans to tax the grants to Aborigine students
aborigineMasc_1_N False 	Aborigine 	the Canadian government scrapped plans to tax the grants to Aborigine students 	the Canadian government scrapped plans to tax the grants to [MASK] students
abort_N False 	abort 	I wasted a year of my life working on an abort 	I wasted a year of my life working on a [MASK]
abort_N False 	abort 	he sent a short message requesting an abort due to extreme winds in the area 	he sent a short message requesting a [MASK] due to extreme winds in the area
abort_1_V2 False 	abort 	abort the mission 	[MASK] the mission
abort_1_V2 False 	abort 	abort the process running on my computer 	[MASK] the process running on my computer
abort_2_V False 	abort 	an aborting foetus 	a [MASK] foetus
abortive_A False 	abortive 	an abortive revolt 	a revolt [MASK]
abound_2_V False 	abound 	the room abounded with screaming children 	the room [MASK] with screaming children
about_Predet False 	about 	in just about a minute 	in just [MASK] a minute
about_AdN False 	about 	he is about 30 years old 	he is [MASK] 30 years old
about_Predet False 	about 	I have had about all I can stand 	I have had about all I can stand
about_Predet False 	about 	we meet a month once [about_1_Adv] 	we meet a month once [about_1_Adv]
look_around_V False 	look around 	let's look around for help 	let's [MASK] for help
about_3_Adv False 	about 	a few spectators standing about 	a few spectators standing [MASK]
about_4_Adv False 	about 	wandering about with no place to go 	wandering [MASK] with no place to go
about_4_Adv False 	about 	people were rushing about 	people were rushing [MASK]
about_5_Adv False 	about 	about face 	about face
about_6_Adv False 	about 	turn about is fair play 	turn [MASK] is fair play
about_7_Adv False 	about 	the job is just about done 	the job is just about done
about_face_2_N False 	about-face 	an about-face on foreign policy 	a [MASK] on foreign policy
above_A False 	above 	flaws in the above interpretation 	flaws in the interpretation [MASK]
above_1_Adv False 	above 	see above 	see [MASK]
above_N False 	above 	for instructions refer to the above 	for instructions refer to the [MASK]
aboveboard_A False 	aboveboard 	their business was open and aboveboard 	their business was open and [MASK]
aboveground_A False 	aboveground 	aboveground nuclear testing 	nuclear testing [MASK]
abraham_PN False 	Abraham 	Judaism, Christianity and Islam each has a special claim on Abraham 	Judaism, Christianity and Islam each has a special claim on [MASK]
abrasive_2_A False 	abrasive 	an abrasive character 	a character [MASK]
abridge_2_V2 False 	abridge 	the new law might abridge our freedom of expression 	the new law might [MASK] our freedom of expression
set_abroach_V2 False 	set abroach 	the cask was set abroach 	the cask was [MASK]
abroad_1_Adv False 	abroad 	markets abroad 	markets [MASK]
abroad_1_Adv False 	abroad 	they had never traveled abroad 	they had never traveled [MASK]
abrupt_1_A False 	abrupt 	abrupt prose 	prose [MASK]
abrupt_2_A False 	abrupt 	came to an abrupt stop 	came to a stop [MASK]
abrupt_2_A False 	abrupt 	an abrupt change in the weather 	a change [MASK] in the weather
abrupt_3_A False 	abrupt 	an abrupt canyon 	a canyon [MASK]
abrupt_4_A False 	abrupt 	an abrupt reply 	a reply [MASK]
abscessed_A False 	abscessed 	an abscessed tooth 	a tooth [MASK]
abscond_V False 	abscond 	the accountant absconded with the cash from the safe 	the accountant [MASK] with the cash from the safe
absence_1_N False 	absence 	he was surprised by the absence of any explanation 	he was surprised by the [MASK] of any explanation
absence_3_N False 	absence 	he visited during my absence 	he visited during my [MASK]
absent_2_A False 	absent 	the thumb is absent 	the thumb is [MASK]
absent_3_A False 	absent 	an absent stare 	a stare [MASK]
absent_yourself_V False 	absent itself 	he absented himself 	he [MASK]
absent_minded_A False 	absent-minded 	an absent-minded professor 	a professor [MASK]
absolute_1_A False 	absolute 	absolute loyalty 	loyalty [MASK]
absolute_1_A False 	absolute 	absolute silence 	silence [MASK]
absolute_1_A False 	absolute 	absolute truth 	truth [MASK]
absolute_1_A False 	absolute 	absolute alcohol 	alcohol [MASK]
absolute_2_A False 	absolute 	absolute freedom 	freedom [MASK]
absolute_2_A False 	absolute 	an absolute dimwit 	a dimwit [MASK]
absolute_3_A False 	absolute 	an absolute monarch 	a monarch [MASK]
absolute_4_A False 	absolute 	an absolute guarantee to respect the nation's authority 	a guarantee [MASK] to respect the nation's authority
absolute_N False 	absolute 	no mortal being can influence the absolute 	no mortal being can influence the [MASK]
absoluteness_2_N False 	absoluteness 	the absoluteness of the pope's decree couldn't be challenged 	the [MASK] of the pope's decree couldn't be challenged
absolve_1_V2 False 	absolve 	? 	?
absolve_2_V2 False 	absolve 	I absolve you from this responsibility 	I [MASK] you from this responsibility
absorb_V False 	absorb 	the liquids, light and gases absorb 	the liquids, light and gases [MASK]
absorb_2_V2 False 	absorb 	he absorbed the knowledge or beliefs of his tribe 	he [MASK] the knowledge or beliefs of his tribe
absorb_3_V2 False 	absorb 	absorb the costs for something 	[MASK] the costs for something
absorb_4_V2 False 	absorb 	the sponge absorbs water well 	the sponge [MASK] water well
absorb_5_V2 False 	absorb 	the sale tax is absorbed into the state income-tax 	the sale tax is [MASK] into the state income-tax
absorb_6_V2 False 	absorb 	a black star absorbs all matter 	a black star [MASK] all matter
absorb_8_V2 False 	absorb 	the immigrants were quickly absorbed into society 	the immigrants were quickly [MASK] into society
absorb_9_V2 False 	absorb 	her interest in butterflies absorbs her completely 	her interest in butterflies [MASK] her completely
absorbent_A False 	absorbent 	as absorbent as a sponge 	as [MASK] as a sponge
absorption_2_N False 	absorption 	the absorption of photons by atoms or molecules 	the [MASK] of photons by atoms or molecules
abstemious_1_A False 	abstemious 	? 	?
abstemious_2_A False 	abstemious 	abstemious with the use of adverbs 	[MASK] with the use of adverbs
abstinent_A False 	abstinent 	[ChunkPhr] [PlusChunk] [neg_Chunk] [OneChunk] [AP_Chunk] totally abstinent but abstemious 	[ChunkPhr] [PlusChunk] [neg_Chunk] [OneChunk] [AP_Chunk] totally [MASK] but abstemious
abstract_1_A False 	abstract 	? 	?
abstract_2_A False 	abstract 	a large abstract painting 	a large painting [MASK]
abstract_3_A False 	abstract 	abstract reasoning 	reasoning [MASK]
abstract_3_A False 	abstract 	abstract science 	science [MASK]
abstract_1_N False 	abstract 	? 	?
abstract_away_V False 	abstract away 	let's abstract away from this particular example 	let's [MASK] from this particular example
abstractive_A False 	abstractive 	abstractive analysis 	analysis [MASK]
abstruse_A False 	abstruse 	the professor's lectures were so abstruse that students tended to avoid them 	the professor's lectures were so [MASK] that students tended to avoid them
absurd_1_A False 	absurd 	? 	?
absurd_2_A False 	absurd 	the absurd excuse that the dog ate his homework 	the excuse [MASK] that the dog ate his homework
cockeyed_2_A False 	cockeyed 	that is a cockeyed idea 	that is an idea [MASK]
absurd_N False 	absurd 	? 	?
absurdity_2_N False 	absurdity 	the crowd laughed at the absurdity of the clown's behaviour 	the crowd laughed at the [MASK] of the clown's behaviour
abundance_1_N False 	abundance 	an age of abundance 	an age of [MASK]
abundant_A False 	abundant 	an abundant supply of water 	a supply of water [MASK]
abuse_1_N False 	abuse 	the child showed signs of physical abuse 	the child showed signs of physical [MASK]
abuse_2_N False 	abuse 	when a student made a stupid mistake he spared them no abuse 	when a student made a stupid mistake he spared them no [MASK]
abuse_of_N2 False 	abuse of 	alcohol abuse 	alcohol [MASK]
abuse_of_N2 False 	abuse of 	the abuse of public funds 	the [MASK] public funds
abuse_1_V2 False 	abuse 	this boss abuses his workers 	this boss [MASK] his workers
abuse_2_V2 False 	abuse 	don't abuse the system 	don't [MASK] the system
abuse_3_V2 False 	abuse 	the actress abused the policeman who gave her a parking ticket 	the actress [MASK] the policeman who gave her a parking ticket
abuse_4_V2 False 	abuse 	her husband often abuses alcohol 	her husband often [MASK] alcohol
abuse_4_V2 False 	abuse 	while she was pregnant, she abused drugs 	while she was pregnant, she [MASK] drugs
abusive_2_A False 	abusive 	abusive punishment 	punishment [MASK]
abusive_2_A False 	abusive 	? 	?
abuzz_A False 	abuzz 	the room was abuzz over the latest scandal 	the room was [MASK] over the latest scandal
abysmal_1_A False 	abysmal 	abysmal misery 	misery [MASK]
abysmal_1_A False 	abysmal 	abysmal stupidity 	stupidity [MASK]
abyssal_2_A False 	abyssal 	the abyssal depths of the ocean 	the depths [MASK] of the ocean
academic_1_A False 	academic 	the academic curriculum 	the curriculum [MASK]
academic_1_A False 	academic 	academic gowns 	gowns [MASK]
academic_2_A False 	academic 	an academic discussion 	a discussion [MASK]
academic_2_A False 	academic 	an academic question 	a question [MASK]
accede_to_V2 False 	accede to 	accede to the throne 	[MASK] the throne
accelerando_Adv False 	accelerando 	here you must play accelerando 	here you must play [MASK]
accelerando_N False 	accelerando 	my ear won't accept such violent accelerandos 	my ear won't accept such violent [MASK]
accelerate_V False 	accelerate 	the car accelerated 	the car [MASK]
accelerate_V2 False 	accelerate 	he accelerated the car 	he [MASK] the car
acceleration_1_N False 	acceleration 	modern science caused an acceleration of cultural change 	modern science caused a [MASK] of cultural change
accent_1_N False 	accent 	he couldn't suppress his contemptuous accent 	he couldn't suppress his contemptuous [MASK]
accent_2_N False 	accent 	the room was decorated in shades of grey with distinctive red accents 	the room was decorated in shades of grey with distinctive red [MASK]
accent_3_N False 	accent 	he has a strong German accent 	he has a strong German [MASK]
accent_2_V2 False 	accent 	in Farsi, you accent the last syllable of each word 	in Farsi, you [MASK] the last syllable of each word
accentual_2_A False 	accentual 	accentual poetry is based on the number of stresses in a line 	poetry [MASK] is based on the number of stresses in a line
accentual_2_A False 	accentual 	accentual rhythm 	rhythm [MASK]
accept_1_V2 False 	accept 	I can't accept the dogma of this church 	I can't [MASK] the dogma of this church
accept_1_V2 False 	accept 	accept an argument 	[MASK] an argument
accept_2_V2 False 	accept 	please accept my present 	please [MASK] my present
accept_3_V2 False 	accept 	I can't accept your invitation 	I can't [MASK] your invitation
accept_4_V2 False 	accept 	people didn't accept atonal music at that time 	people didn't [MASK] atonal music at that time
accept_4_V2 False 	accept 	we accept the idea of universal healthcare 	we [MASK] the idea of universal healthcare
accept_5_V2 False 	accept 	accept students for graduate study 	[MASK] students for graduate study
accept_6_V2 False 	accept 	I will accept the charges 	I will [MASK] the charges
accept_7_V2 False 	accept 	I shall have to accept these unpleasant working conditions 	I shall have to [MASK] these unpleasant working conditions
accept_11_V2 False 	accept 	the cow accepted the bull 	the cow [MASK] the bull
acceptable_1_A False 	acceptable 	acceptable levels of radiation 	levels [MASK] of radiation
acceptable_1_A False 	acceptable 	performances varied from acceptable [to_Adv] excellent 	performances varied from [MASK] [to_Adv] excellent
acceptable_2_A False 	acceptable 	acceptable English usage 	English usage [MASK]
acceptable_4_A False 	acceptable 	the water was acceptable for drinking 	the water was [MASK] for drinking
acceptance_1_N False 	acceptance 	acceptance of Newtonian mechanics was unquestioned for 200 years 	[MASK] of Newtonian mechanics was unquestioned for 200 years
acceptance_2_N False 	acceptance 	the proposal found wide acceptance 	the proposal found wide [MASK]
acceptance_3_N False 	acceptance 	torn jeans received no acceptance at the country club 	torn jeans received no [MASK] at the country club
acceptance_7_N False 	acceptance 	her acceptance of the gift encouraged him 	her [MASK] of the gift encouraged him
acceptance_7_N False 	acceptance 	he anticipated their acceptance of his offer 	he anticipated their [MASK] of his offer
accepted_A False 	accepted 	several accepted techniques for treating the condition 	several techniques [MASK] for treating the condition
acceptive_of_1_A2 False 	acceptive of 	she was seldom acceptive of my suggestions 	she was seldom [MASK] my suggestions
acceptive_of_2_A2 False 	acceptive of 	acceptive of every new idea 	[MASK] every new idea
access_3_N False 	access 	he took a wrong turn on the access to the bridge 	he took a wrong turn on the [MASK] to the bridge
access_6_N False 	access 	he gained access to the building 	he gained [MASK] to the building
access_2_V2 False 	access 	how does one access the attic in this house? 	how does one [MASK] the attic in this house?
accessible_1_A False 	accessible 	a town accessible by rail 	a town [MASK] by rail
accessible_to_A2 False 	accessible to 	readily accessible to the nonprofessional reader 	readily [MASK] the nonprofessional reader
approachable_1_A False 	approachable 	the tales seem more approachable than his more difficult novels 	the tales seem [MASK] than his more difficult novels
accessible_3_A False 	accessible 	most students now have computers accessible 	most students now have computers [MASK]
accessible_3_A False 	accessible 	accessible money 	money [MASK]
accessible_4_A False 	accessible 	an accessible and genial man 	a man [MASK] and genial
accession_1_N False 	accession 	the art collection grew through accession 	the art collection grew through [MASK]
accession_3_N False 	accession 	the librarian shelved the new accessions 	the librarian shelved the new [MASK]
accession_to_N2 False 	accession to 	accession to such demands would set a dangerous precedent 	[MASK] such demands would set a dangerous precedent
accession_6_N False 	accession 	? 	?
accessorial_A False 	accessorial 	accessorial services included sorting and packing 	services [MASK] included sorting and packing
accessory_to_A2 False 	accessory to 	he was charged with being accessory to the crime 	he was charged with being [MASK] the crime
accident_2_N False 	accident 	winning the lottery was a happy accident 	winning the lottery was a happy [MASK]
accident_2_N False 	accident 	it was due to an accident or fortuity 	it was due to a [MASK] or fortuity
fortuity_N False 	fortuity 	it was due to an accident or fortuity 	it was due to an accident or [MASK]
accidental_A False 	accidental 	accidental poisoning 	poisoning [MASK]
accidental_A False 	accidental 	an accidental shooting 	a shooting [MASK]
accidental_to_A2 False 	accidental to 	the character's motives remain accidental to the plot 	the character's motives remain [MASK] the plot
acclaim_N False 	acclaim 	the book met with modest acclaim 	the book met with modest [MASK]
acclimatize_V False 	acclimatize 	they never acclimatized in Egypt 	they never [MASK] in Egypt
accommodate_3_V2 False 	accommodate 	can you accommodate me with a rental car? 	can you [MASK] me with a rental car?
accommodate_4_V2 False 	accommodate 	this hotel can accommodate 250 guests 	this hotel can [MASK] 250 guests
accommodate_with_V3 False 	accommodate with 	the scientists had to accommodate the new results with the existing theories 	the scientists had to [MASK] the new results the existing theories
accommodation_2_N False 	accommodation 	they reached an accommodation with Japan 	they reached a [MASK] with Japan
accommodation_4_N False 	accommodation 	overnight accommodations are available 	overnight [MASK] are available
accommodational_A False 	accommodational 	accommodational strain 	strain [MASK]
accompaniment_3_N False 	accompaniment 	wild rice was served as an accompaniment to the main dish 	wild rice was served as a [MASK] to the main dish
accompany_1_V2 False 	accompany 	? 	?
accompany_1_V2 False 	accompany 	this kind of vein accompanies certain arteries 	this kind of vein [MASK] certain arteries
accomplished_1_A False 	accomplished 	an accomplished pianist 	a pianist [MASK]
accomplished_2_A False 	accomplished 	his mission accomplished he took a vacation to 	his mission [MASK] he took a vacation to
accomplished_3_A False 	accomplished 	that smoking causes health problems is an accomplished fact 	that smoking causes health problems is a fact [MASK]
accord_2_N False 	accord 	we are in accord with your proposal 	we are in [MASK] with your proposal
accordance_2_N False 	accordance 	the accordance to Canada of rights of access 	the [MASK] to Canada of rights of access
accordant_with_A2 False 	accordant with 	? 	?
accordingly_1_Adv False 	accordingly 	continued in order to have severe headaches and accordingly returned [to_Adv] the doctor 	continued in order to have severe headaches and [MASK] returned [to_Adv] the doctor
accordingly_2_Adv False 	accordingly 	she acted accordingly 	she acted [MASK]
account_of_N2 False 	account of 	he gave an inaccurate account of the plot to kill the president 	he gave an inaccurate [MASK] the plot to kill the president
account_2_N False 	account 	the account of his speech that was given on the evening news made the governor furious 	the [MASK] of his speech that was given on the evening news made the governor furious
account_3_N False 	account 	he asked to see the executive who handled his account 	he asked to see the executive who handled his [MASK]
account_4_N False 	account 	I expected a brief account 	I expected a brief [MASK]
account_5_N False 	account 	don't do it on my account 	don't do it on my [MASK]
on_account_of_Prep False 	on account of 	the paper was rejected on account of its length 	the paper was rejected its length [MASK]
account_6_N False 	account 	a person of considerable account 	a person of considerable [MASK]
account_6_N False 	account 	he predicted that although it is of small account now it will rapidly increase in importance 	he predicted that although it is of small [MASK] now it will rapidly increase in importance
account_8_N False 	account 	by all accounts they were a happy couple 	by all [MASK] they were a happy couple
account_9_N False 	account 	send me an account of what I owe 	send me a [MASK] of what I owe
account_10_N False 	account 	she turned her writing skills to good account 	she turned her writing skills to good [MASK]
account_for_3_V2 False 	account for 	passing grades account for half the grades given in this exam 	passing grades [MASK] half the grades given in this exam
account_for_4_V2 False 	account for 	I can't account for the missing money 	I can't account for the missing money
account_for_1_V2 False 	account for 	the recession accounts for the slow retail business 	the recession [MASK] the slow retail business
account_for_2_V2 False 	account for 	can you account for all these absences? 	can you [MASK] all these absences?
accountable_A False 	accountable 	governments must be accountable to someone beside themselves 	governments must be [MASK] to someone beside themselves
accountable_A False 	accountable 	fully accountable for what they did 	fully [MASK] for what they did
accountable_A False 	accountable 	the court held the parents accountable for their minor child's acts of vandalism 	the court held the parents [MASK] for their minor child's acts of vandalism
accounting_1_N False 	accounting 	he was unable to give a clear accounting for his actions 	he was unable to give a clear [MASK] for his actions
accounting_5_N False 	accounting 	they send me an accounting every month 	they send me a [MASK] every month
accoutered_1_A False 	accoutered 	troops accoutered for battle 	troops [MASK] for battle
accoutered_1_A False 	accoutered 	properly accoutered for the trip 	properly [MASK] for the trip
accreditation_N False 	accreditation 	a commission is responsible for the accreditation of medical schools 	a commission is responsible for the [MASK] of medical schools
accretion_2_N False 	accretion 	he scraped away the accretions of paint 	he scraped away the [MASK] of paint
accretion_2_N False 	accretion 	the central city surrounded by recent accretions 	the central city surrounded by recent [MASK]
accrue_V False 	accrue 	the interest accrues 	the interest [MASK]
accrue_to_V2 False 	accrue to 	the house accrued to the oldest son 	the house [MASK] the oldest son
accumulate_1_V2 False 	accumulate 	I am accumulating evidence for the man's unfaithfulness to his wife 	I am [MASK] evidence for the man's unfaithfulness to his wife
accumulate_2_V False 	accumulate 	journals are accumulating in my office 	journals are [MASK] in my office
accumulative_1_A False 	accumulative 	the eventual accumulative effect of these substances 	the eventual effect [MASK] of these substances
accumulative_2_A False 	accumulative 	we live in an accumulative society 	we live in a society [MASK]
accuracy_1_N False 	accuracy 	he was beginning to doubt the accuracy of his compass 	he was beginning to doubt the [MASK] of his compass
accuracy_2_N False 	accuracy 	the atomic clock enabled scientists to measure time with much greater accuracy 	the atomic clock enabled scientists to measure time with much greater [MASK]
accurate_1_A False 	accurate 	an accurate reproduction 	a reproduction [MASK]
accurate_1_A False 	accurate 	the accounting was accurate 	the accounting was [MASK]
accurate_1_A False 	accurate 	accurate measurements 	measurements [MASK]
accurate_1_A False 	accurate 	an accurate scale 	a scale [MASK]
accusative_1_A False 	accusative 	an accusative forefinger 	a forefinger [MASK]
accusative_2_A False 	accusative 	accusative endings 	endings [MASK]
accuse_of_V3 False 	accuse of 	the neighbours accused the man of spousal abuse 	the neighbours [MASK] the man spousal abuse
accusingly_Adv False 	accusingly 	he looked at her accusingly 	he looked at her [MASK]
ace_A False 	ace 	an ace reporter 	a reporter [MASK]
acentric_1_A False 	acentric 	an acentric chromosome fragment 	a chromosome fragment [MASK]
acephalous_A False 	acephalous 	acephalous worms 	worms [MASK]
acerb_2_A False 	acerb 	an acerb tone piercing otherwise flowery prose 	a tone [MASK] piercing otherwise flowery prose
acervate_A False 	acervate 	acervate fungous sporophores 	fungous sporophores [MASK]
acetylation_N False 	acetylation 	? 	?
ache_for_V2 False 	ache for 	she ached for a cigarette 	she [MASK] a cigarette
achieve_V2 False 	achieve 	she achieved her goal despite setbacks 	she [MASK] her goal despite setbacks
achieverMasc_N False 	achiever 	? 	?
acid_1_A False 	acid 	a barrage of acid comments 	a barrage of comments [MASK]
acid_3_A False 	acid 	an acid reaction 	a reaction [MASK]
acidify_2_V False 	acidify 	the solution acidified 	the solution [MASK]
acknowledge_1_VS False 	acknowledge 	she acknowledged that she might have forgotten 	she [MASK] that she might have forgotten
acknowledge_2_V2 False 	acknowledge 	the programme committee acknowledged the submission of the authors of the paper 	the programme committee [MASK] the submission of the authors of the paper
acknowledge_3_V2 False 	acknowledge 	he never acknowledges his colleagues when they run into him in the hallway 	he never [MASK] his colleagues when they run into him in the hallway
acknowledge_3_V2 False 	acknowledge 	she acknowledged his compliment with a smile 	she [MASK] his compliment with a smile
acknowledge_3_V2 False 	acknowledge 	it is important to acknowledge the work of others in one's own writing 	it is important to [MASK] the work of others in one's own writing
acknowledge_4_V2 False 	acknowledge 	we must acknowledge the kindness she showed towards us 	we must [MASK] the kindness she showed towards us
acknowledge_5_V2 False 	acknowledge 	acknowledge the deed 	[MASK] the deed
acknowledge_6_V2 False 	acknowledge 	the crown prince was acknowledged as the true heir to the throne 	the crown prince was [MASK] as the true heir to the throne
recognition_1_N False 	recognition 	she seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own 	she seems to avoid much in the way of [MASK] or acknowledgement of feminist work prior to her own
acknowledgement_1_N False 	acknowledgement 	she seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own 	she seems to avoid much in the way of recognition or [MASK] of feminist work prior to her own
acknowledgement_2_N False 	acknowledgement 	she must have seen him but she gave no sign of acknowledgement 	she must have seen him but she gave no sign of [MASK]
acknowledgement_2_N False 	acknowledgement 	the preface contained an acknowledgement of those who had helped her 	the preface contained a [MASK] of those who had helped her
citation_3_N False 	citation 	the student's essay failed to list several important citations 	the student's essay failed to list several important [MASK]
acknowledgement_3_N False 	acknowledgement 	the acknowledgements are usually printed at the front of a book 	the [MASK] are usually printed at the front of a book
acme_1_N False 	acme 	his landscapes were deemed the acme of beauty 	his landscapes were deemed the [MASK] of beauty
acme_1_N False 	acme 	the artist's gifts are at their acme 	the artist's gifts are at their [MASK]
acold_A False 	acold 	? 	?
acoustic_1_A False 	acoustic 	acoustic properties of a hall 	properties of a hall [MASK]
acquaint_with_V3 False 	acquaint with 	permit me to acquaint you with my son 	permit me to [MASK] you my son
acquaint_2_V2 False 	acquaint 	you should acquaint yourself with your new computer 	you should [MASK] yourself with your new computer
acquaint_3_V2 False 	acquaint 	please acquaint your colleagues of your plans to move 	please [MASK] your colleagues of your plans to move
acquaintanceMasc_3_N False 	acquaintance 	I have trouble remembering the names of all my acquaintances 	I have trouble remembering the names of all my [MASK]
acquiescence_2_N False 	acquiescence 	a murmur of acquiescence from the assembly 	a murmur of [MASK] from the assembly
acquiescent_A False 	acquiescent 	too acquiescent to challenge authority 	too [MASK] to challenge authority
acquire_1_V2 False 	acquire 	they acquired a new pet 	they [MASK] a new pet
acquire_5_V2 False 	acquire 	I acquired a passing knowledge of Chinese 	I [MASK] a passing knowledge of Chinese
acquire_6_V2 False 	acquire 	children acquire language at an amazing rate 	children [MASK] language at an amazing rate
acquire_7_V2 False 	acquire 	I acquired a strong aversion to television 	I [MASK] a strong aversion to television
acquiring_N False 	acquiring 	I envied his talent for acquiring 	I envied his talent for [MASK]
acquiring_N False 	acquiring 	he is much more interested in the getting than in the giving 	he is much more interested in the getting than in the giving
acquisition_1_N False 	acquisition 	the acquisition of wealth 	the [MASK] of wealth
